LOADED TRAINER
LOADED GEN NUMBER:  999
Gen: 1209, Best Score: -144.31007078534827, Avg Score: -1.324921774824099e+55, Time: 0.2702104691002104
Validation champ met/exceeded the best test score with (UUID('ffaff918-5607-4386-abab-0a95e0c465d1'), {'validation': -140.38703827640003}) on test data.
Gen: 1210, Best Score: -140.26487311326866, Avg Score: -3.036760299956454e+42, Time: 0.2731300162606769
Gen: 1211, Best Score: -142.67906959946055, Avg Score: -1.7611523663561724e+52, Time: 0.27418315728505455
Gen: 1212, Best Score: -144.3414133947948, Avg Score: -1.7380006919583277e+28, Time: 0.27524863686826495
Gen: 1213, Best Score: -144.3414133947948, Avg Score: -8.31327946091791e+59, Time: 0.2763007501098845
Gen: 1214, Best Score: -144.3414133947948, Avg Score: -1.482310298336284e+39, Time: 0.27740591751204596
Gen: 1215, Best Score: -144.3414133947948, Avg Score: -4.419438829425555e+77, Time: 0.2785280763440662
Gen: 1216, Best Score: -144.3414133947948, Avg Score: -2.5177773354674194e+68, Time: 0.27962893863519034
Gen: 1217, Best Score: -144.3414133947948, Avg Score: -5.804690546986112e+55, Time: 0.2807229201661216
Gen: 1218, Best Score: -144.17405502209638, Avg Score: -1.130500428816726e+57, Time: 0.28182170238759785
Gen: 1219, Best Score: -144.3414133947948, Avg Score: -4.2652479863515695e+50, Time: 0.2829591988192664
Validation champ met/exceeded the best test score with (UUID('fedb3d21-27f1-4f95-8d30-669f478d2d7b'), {'validation': -255.13331354842094}) on test data.
Gen: 1220, Best Score: -140.2195157165692, Avg Score: -2.1107436389209847e+61, Time: 0.28589865763982136
Gen: 1221, Best Score: -144.3414133947948, Avg Score: -5.3105962027068564e+70, Time: 0.28702818433443705
Gen: 1222, Best Score: -144.3414133947948, Avg Score: -1.1354163624654983e+54, Time: 0.2880893154276742
Gen: 1223, Best Score: -144.3414133947948, Avg Score: -2.9321545873048027e+85, Time: 0.2891972252395418
Gen: 1224, Best Score: -144.3414133947948, Avg Score: -1.0128086034605236e+75, Time: 0.2903002650870217
Gen: 1225, Best Score: -144.3414133947948, Avg Score: -6.481911576571824e+52, Time: 0.2914267384343677
Gen: 1226, Best Score: -144.3414133947948, Avg Score: -5.294553009497163e+55, Time: 0.29263471199406516
